Feature,Is_Normal,Test_Used,Statistic,P_Value_Raw,P_Value_Adj,Significant
e_59,True,Welch's t-test,0.6901709836385826,0.490397624301437,0.6628233936333235,False
e_28,True,Welch's t-test,0.6849896708403006,0.4936653400498191,0.6628233936333235,False
e_189,True,Welch's t-test,0.7103107077174927,0.4778601492470316,0.6628233936333235,False
e_160,True,Welch's t-test,0.6922364464936868,0.48908687848854815,0.6628233936333235,False
e_96,True,Welch's t-test,0.6663045833390373,0.5055459684329164,0.6648275749254792,False
e_49,True,Welch's t-test,0.667561713200747,0.5047493759436064,0.6648275749254792,False
e_158,True,Welch's t-test,-0.6674514047503304,0.5047787731669025,0.6648275749254792,False
e_147,True,Welch's t-test,0.6516210144010801,0.5149264105338759,0.6725569443707766,False
e_31,False,Mann-Whitney U,38744.0,0.5188624945425724,0.6731189118390127,False
e_65,True,Welch's t-test,-0.6206845060662814,0.5350974002491692,0.6870525962361319,False
e_170,False,Mann-Whitney U,38681.0,0.541045943026115,0.6870525962361319,False
e_141,False,Mann-Whitney U,38675.0,0.5431831038240122,0.6870525962361319,False
e_115,True,Welch's t-test,0.6073353885767423,0.5439166386869377,0.6870525962361319,False
e_176,True,Welch's t-test,-0.5885323686102543,0.5564204189663321,0.6982530747812795,False
e_51,True,Welch's t-test,0.5782334859584132,0.5633543735724111,0.702363894324045,False
e_114,False,Mann-Whitney U,38591.0,0.5735373015228052,0.7104462057572813,False
e_9,True,Welch's t-test,-0.5489900013483633,0.5832634848513066,0.7178627505862235,False
e_138,True,Welch's t-test,-0.5375777988915866,0.5911127493560295,0.7183142270655549,False
e_69,False,Mann-Whitney U,36535.0,0.5878985185038315,0.7183142270655549,False
e_67,False,Mann-Whitney U,36565.0,0.5990574986579449,0.7233901870586504,False
e_117,False,Mann-Whitney U,38500.0,0.6073012602735433,0.7287615123282519,False
e_102,False,Mann-Whitney U,38444.0,0.628510162003367,0.7449009327447312,False
e_116,True,Welch's t-test,-0.4862509795732995,0.6270013998437884,0.7449009327447312,False
e_25,False,Mann-Whitney U,36715.0,0.6562338439445403,0.7682737685204375,False
e_143,True,Welch's t-test,-0.4471537073910111,0.6549580820653472,0.7682737685204375,False
e_13,True,Welch's t-test,-0.4090520713563566,0.6826763462487897,0.7943870210895008,False
e_50,True,Welch's t-test,0.4031202519116095,0.687032865905427,0.7946404232159155,False
e_98,False,Mann-Whitney U,36847.0,0.7082868431294302,0.809470677862206,False
e_71,True,Welch's t-test,0.37926621245811587,0.7046470599771574,0.809470677862206,False
e_111,False,Mann-Whitney U,36860.0,0.7134927230276791,0.8105952829663573,False
e_3,True,Welch's t-test,-0.3400007381776702,0.7339933425638213,0.8289807163073747,False
e_16,True,Welch's t-test,0.32899214799333687,0.7422933636383758,0.8334521977694045,False
e_86,True,Welch's t-test,0.2866162448897318,0.7745260470618791,0.8645872153248882,False
e_33,True,Welch's t-test,-0.26100672312634676,0.7941976326831124,0.8763560084779172,False
e_0,True,Welch's t-test,-0.2637906641686598,0.7920512592394204,0.8763560084779172,False
e_21,True,Welch's t-test,-0.2337386098816067,0.8152811545484842,0.8944798952760511,False
e_83,True,Welch's t-test,-0.21527456261924266,0.8296474035856438,0.9050698948207024,False
e_190,True,Welch's t-test,0.20474766925974103,0.8378464657608502,0.9088504035371935,False
e_107,True,Welch's t-test,-0.19160137132210436,0.8481338989770154,0.9148410595707133,False
e_108,True,Welch's t-test,0.16159875184599995,0.8716827110026387,0.9288365798325182,False
e_87,True,Welch's t-test,-0.15660345336090764,0.8756219841129469,0.9288365798325182,False
e_8,True,Welch's t-test,-0.16223760970898263,0.8711874338954493,0.9288365798325182,False
e_93,False,Mann-Whitney U,37804.0,0.8888404294719536,0.9376778157066764,False
e_121,False,Mann-Whitney U,37302.0,0.8969164910526263,0.9410271381535751,False
e_38,True,Welch's t-test,0.10670918404985925,0.9150627133796781,0.954848048744012,False
e_88,True,Welch's t-test,0.0948840994682877,0.9244487165994976,0.958856384736993,False
e_20,False,Mann-Whitney U,37377.0,0.9288921227139619,0.958856384736993,False
e_15,True,Welch's t-test,0.0714123173878922,0.9430958344495587,0.9683123006113116,False
e_45,False,Mann-Whitney U,37640.0,0.9588410556462571,0.9783630559791137,False
e_5,True,Welch's t-test,0.046316480966560054,0.96307613322944,0.9783630559791137,False
e_99,False,Mann-Whitney U,37608.0,0.9725539378701662,0.9827913477424837,False
e_105,True,Welch's t-test,-0.014282655921774428,0.9886103349388543,0.9937863052788484,False
e_191,False,Mann-Whitney U,37554.0,0.9957107273772424,0.9957107273772424,False
