Feature,AUC,Max_Accuracy,Precision_at_Max_Acc,Best_Threshold
e_11,0.5227402879326648,0.5615942028985508,0.5640535372848948,-8.468364
e_130,0.5197171281313676,0.5615942028985508,0.5612431444241316,-34.027058
e_142,0.5192776379399896,0.5615942028985508,0.5668662674650699,-36.961575
e_176,0.5164942000612623,0.5615942028985508,0.5693581780538303,-22.653278
e_51,0.5159614846777738,0.5615942028985508,0.5607985480943739,-58.350613
e_3,0.5118728941094997,0.5615942028985508,0.5791962174940898,-2.6598547
e_160,0.5111936819955518,0.5615942028985508,0.5607985480943739,-32.23564
e_98,0.5092759066149932,0.5615942028985508,0.5628517823639775,-34.13582
e_109,0.5367773382875864,0.5597826086956522,0.5620300751879699,-46.209297
e_162,0.5272816865769041,0.5597826086956522,0.5597826086956522,-51.16019
e_43,0.5237524471612929,0.5597826086956522,0.5597826086956522,-44.342495
e_144,0.5193841810166873,0.5597826086956522,0.5662650602409639,-27.130398
e_147,0.5176528560203497,0.5597826086956522,0.5649606299212598,-30.076263
e_190,0.5144166100656572,0.5597826086956522,0.5597826086956522,-41.987217
e_15,0.5037889381650619,0.5597826086956522,0.5597826086956522,-74.22677
e_93,0.5034693089349688,0.5597826086956522,0.5597826086956522,-78.55493
e_108,0.5008190499021135,0.5597826086956522,0.56,-66.54392
